Municípios;Código municipal;UF;%
Barracão;4102604;PR;sem ocorrência
Barracão;4301800;RS;0,02
Barras;2201200;PI;sem ocorrência
Barreira;2301950;CE;sem ocorrência
Barreiras;2903201;BA;0,94
Barreiras do Piauí;2201309;PI;0,55
Barreirinha;1300508;AM;sem ocorrência
Barreirinhas;2101707;MA;92,09
Barreiros;2601409;PE;1,45
Barretos;3505500;SP;sem ocorrência
Barrinha;3505609;SP;sem ocorrência
Barro;2302008;CE;sem ocorrência
Barro Alto;2903235;BA;sem ocorrência
Barro Alto;5203203;GO;sem ocorrência
Barro Duro;2201408;PI;sem ocorrência
Barro Preto;2903300;BA;sem ocorrência
Barrocas;2903276;BA;sem ocorrência
Barrolândia;1703107;TO;sem ocorrência
Barroquinha;2302057;CE;35,01
Barros Cassal;4302006;RS;sem ocorrência
Barroso;3105905;MG;sem ocorrência
Barueri;3505708;SP;3,73
Bastos;3505807;SP;sem ocorrência
Bataguassu;5001904;MS;4,12
Batalha;2201507;PI;4,56
Batalha;2700706;AL;sem ocorrência
Batatais;3505906;SP;sem ocorrência
Batayporã;5002001;MS;13,11
Baturité;2302107;CE;0,65
Bauru;3506003;SP;10,39
Bayeux;2501807;PB;sem ocorrência
Bebedouro;3506102;SP;sem ocorrência
Beberibe;2302206;CE;7,56
Bela Cruz;2302305;CE;sem ocorrência
Bela Vista;5002100;MS;15,87
Bela Vista da Caroba;4102752;PR;sem ocorrência
Bela Vista de Goiás;5203302;GO;sem ocorrência
Bela Vista de Minas;3106002;MG;sem ocorrência
Bela Vista do Maranhão;2101772;MA;5,23
Bela Vista do Paraíso;4102802;PR;sem ocorrência
Bela Vista do Piauí;2201556;PI;sem ocorrência
Bela Vista do Toldo;4202131;SC;sem ocorrência
Belágua;2101731;MA;100
Belém;1501402;PA;4,5
Belém;2501906;PB;0,43
Belém;2700805;AL;sem ocorrência
Belém de Maria;2601508;PE;sem ocorrência
Belém do Brejo do Cruz;2502003;PB;sem ocorrência
Belém do Piauí;2201572;PI;sem ocorrência
Belém do São Francisco;2601607;PE;0,06
Belford Roxo;3300456;RJ;0,45
Belmiro Braga;3106101;MG;sem ocorrência
Belmonte;2903409;BA;8,18
Belmonte;4202156;SC;sem ocorrência
Belo Campo;2903508;BA;sem ocorrência
Belo Horizonte;3106200;MG;1,51
Belo Jardim;2601706;PE;3,21
Belo Monte;2700904;AL;sem ocorrência
Belo Oriente;3106309;MG;sem ocorrência
Belo Vale;3106408;MG;sem ocorrência
Belterra;1501451;PA;17,01
Beneditinos;2201606;PI;sem ocorrência
Benedito Leite;2101806;MA;sem ocorrência
Benedito Novo;4202206;SC;0,06
Benevides;1501501;PA;0,04
Benjamin Constant;1300607;AM;sem ocorrência
Benjamin Constant do Sul;4302055;RS;sem ocorrência
Bento de Abreu;3506201;SP;sem ocorrência
Bento Fernandes;2401602;RN;sem ocorrência
Bento Gonçalves;4302105;RS;sem ocorrência
Bequimão;2101905;MA;99,24
Berilo;3106507;MG;sem ocorrência
Berizal;3106655;MG;sem ocorrência
Bernardino Batista;2502052;PB;sem ocorrência
Bernardino de Campos;3506300;SP;sem ocorrência
Bernardo do Mearim;2101939;MA;sem ocorrência
Bernardo Sayão;1703206;TO;sem ocorrência
Bertioga;3506359;SP;1,82
Bertolínia;2201705;PI;sem ocorrência
Bertópolis;3106606;MG;sem ocorrência
Beruri;1300631;AM;7,9
Betânia;2601805;PE;sem ocorrência
Betânia do Piauí;2201739;PI;sem ocorrência
Betim;3106705;MG;2,81
Bezerros;2601904;PE;sem ocorrência
Bias Fortes;3106804;MG;sem ocorrência
Bicas;3106903;MG;sem ocorrência
Biguaçu;4202305;SC;sem ocorrência
Bilac;3506409;SP;sem ocorrência
Biquinhas;3107000;MG;sem ocorrência
Birigui;3506508;SP;sem ocorrência
Biritiba Mirim;3506607;SP;0,92
Biritinga;2903607;BA;sem ocorrência
Bituruna;4102901;PR;sem ocorrência
Blumenau;4202404;SC;0,01
Boa Esperança;3107109;MG;0,01
Boa Esperança;3201001;ES;sem ocorrência
Boa Esperança;4103008;PR;sem ocorrência
Boa Esperança do Iguaçu;4103024;PR;sem ocorrência
Boa Esperança do Sul;3506706;SP;sem ocorrência
Boa Hora;2201770;PI;sem ocorrência
Boa Nova;2903706;BA;6,91
Boa Ventura;2502102;PB;sem ocorrência
Boa Ventura de São Roque;4103040;PR;sem ocorrência
Boa Viagem;2302404;CE;sem ocorrência
Boa Vista;1400100;RR;0,16
Boa Vista;2502151;PB;0,74
Boa Vista da Aparecida;4103057;PR;sem ocorrência
Boa Vista das Missões;4302154;RS;sem ocorrência
Boa Vista do Buricá;4302204;RS;sem ocorrência
Boa Vista do Cadeado;4302220;RS;sem ocorrência
Boa Vista do Gurupi;2101970;MA;sem ocorrência
Boa Vista do Incra;4302238;RS;sem ocorrência
Boa Vista do Ramos;1300680;AM;sem ocorrência
Boa Vista do Sul;4302253;RS;sem ocorrência
Boa Vista do Tupim;2903805;BA;sem ocorrência
